"Player","Season","Position","Min","Off. g+","g+ Boost","Off. Net g+","Def. g+","g-","Def. Net g+","Net g+","League"
"Simon Colyn","2018","W","8","4.11","-0.01","4.09","0","-0.12","-0.12","3.98","MLS"
"Abdoul Zanne","2022","ST","6","1.07","-0.01","1.05","0","1.21","1.21","2.26","MLS"
"Jesús Ferreira","2018","W","7","2.33","-0.01","2.32","-0.05","-0.03","-0.07","2.25","MLS"
"Mal Swanson","2020","AM","36","1.91","-0.02","1.89","0.08","0","0.08","1.97","NWSL"
"Harrison Heath","2017","CM","3","-0.11","0","-0.11","1.57","0.13","1.71","1.6","MLS"
"Justin Rennicks","2020","W","24","1.36","-0.01","1.35","-0.04","0.04","0","1.35","MLS"
"Ben Reveno","2022","W","6","-0.04","-0.01","-0.06","1.45","-0.09","1.36","1.31","MLS"
"Mac Steeves","2018","AM","37","1.28","-0.02","1.26","-0.06","0.09","0.02","1.28","MLS"
"Brett Levis","2016","W","10","1.14","-0.01","1.13","0.04","0.07","0.12","1.25","MLS"
"Kai Koreniuk","2020","W","29","1.31","-0.01","1.3","-0.02","-0.04","-0.06","1.24","MLS"
"Jesús Ferreira","2017","W","22","1.33","-0.01","1.31","-0.01","-0.08","-0.09","1.22","MLS"
"Juninho","2023","DM","3","0.67","0.02","0.69","0.4","0.06","0.47","1.16","MLS"
"Collin Fernandez","2016","CM","15","1.19","0","1.2","0.01","-0.12","-0.1","1.09","MLS"
"Ally Haran","2020","DM","18","1.2","0","1.21","-0.1","-0.03","-0.13","1.08","NWSL"
"Caitlin Farrell","2019","W","29","0.93","-0.01","0.92","0.13","0.02","0.15","1.06","NWSL"
"Jessie Scarpa","2020","ST","71","0.99","-0.02","0.97","0.07","0","0.07","1.04","NWSL"
"Amy Rodriguez","2017","ST","59","1.03","0","1.03","0","0","0","1.03","NWSL"
"Jimmy Medranda","2020","FB","32","-0.1","0.01","-0.09","1.19","-0.07","1.12","1.02","MLS"
"Jack Lynn","2023","ST","61","0.63","-0.01","0.62","0.35","0.04","0.39","1.01","MLS"
"Taylor Porter","2021","DM","3","-0.01","0","0","1.01","-0.08","0.93","0.93","NWSL"
"Carlos Ruiz","2016","DM","21","0.8","0.02","0.81","0.06","0.06","0.12","0.93","MLS"
"Jordan Hamilton","2014","FB","5","0.32","0.01","0.33","0","0.59","0.59","0.91","MLS"
"Marius Obekop","2015","W","9","0.94","-0.01","0.93","-0.04","-0.01","-0.06","0.87","MLS"
"Kwadwo Opoku","2020","W","67","0.77","0.02","0.78","-0.01","0.07","0.06","0.84","MLS"
"Savannah Jordan","2017","W","18","0.97","-0.01","0.96","-0.12","0","-0.12","0.84","NWSL"
"Hassan Ndam","2017","CB","2","0.13","0.03","0.16","0.52","0.14","0.66","0.82","MLS"
"Nicolas Firmino","2023","DM","11","0.64","0.02","0.65","0.04","0.12","0.15","0.81","MLS"
"Alex Monis","2022","W","5","0.67","0","0.67","0","0.1","0.1","0.77","MLS"
"Ballou Tabla","2021","FB","29","0.59","0.01","0.6","0.09","0.07","0.16","0.76","MLS"
"Paul Arriola","2020","FB","29","0.92","0.01","0.93","-0.09","-0.09","-0.18","0.75","MLS"
"Cam Weaver","2014","ST","47","0.78","-0.01","0.76","-0.02","0","-0.02","0.74","MLS"
"Joseph Greenspan","2016","ST","1","0.85","-0.01","0.84","0","-0.11","-0.11","0.73","MLS"
"Hadji Barry","2017","W","25","0.69","-0.01","0.67","0.07","-0.03","0.04","0.72","MLS"
"Jimmy Medranda","2013","CM","2","0.67","0","0.67","0","0.01","0.01","0.69","MLS"
"Manolo Sánchez","2015","W","36","0.79","-0.01","0.78","-0.1","0","-0.1","0.68","MLS"
"Robert Earnshaw","2015","AM","75","0.66","-0.01","0.65","0","0.03","0.02","0.68","MLS"
"Zoey Goralski","2019","W","83","0.57","-0.01","0.56","-0.02","0.12","0.1","0.66","NWSL"
"Alejandro Granados Torres","2023","W","2","0.59","-0.02","0.58","-0.03","0.1","0.07","0.65","MLS"
"Marissa Everett","2019","ST","56","0.93","-0.02","0.92","-0.03","-0.24","-0.27","0.64","NWSL"
"Mariano Miño","2018","CM","28","1.1","0","1.11","-0.32","-0.15","-0.47","0.63","MLS"
"Michael Seaton","2014","ST","66","0.57","-0.01","0.56","0","0.05","0.05","0.61","MLS"
"Allie Hess","2021","ST","11","0.65","-0.02","0.63","0","-0.03","-0.02","0.6","NWSL"
"Javier Pérez","2019","CM","17","0.51","0","0.51","-0.01","0.1","0.09","0.6","MLS"
"Ally Watt","2021","CM","51","0.24","-0.01","0.24","0.36","-0.01","0.35","0.59","NWSL"
"Ryan Telfer","2019","W","10","0.49","-0.01","0.48","0","0.11","0.11","0.59","MLS"
"Marley Canales","2023","CM","16","-0.12","-0.01","-0.12","0.58","0.1","0.69","0.56","NWSL"
"Siad Haji","2022","CB","25","0.18","0.03","0.21","0.25","0.11","0.35","0.56","MLS"
"Christina Burkenroad","2017","ST","15","0.55","-0.02","0.54","0","0.02","0.02","0.55","NWSL"
"Zach Pfeffer","2014","AM","119","0.54","-0.03","0.51","0.04","-0.01","0.03","0.54","MLS"
"Cameron Cilley","2023","ST","8","-0.12","-0.01","-0.14","0.79","-0.12","0.67","0.53","MLS"
"Kevon Lambert","2023","CB","12","0.16","0.03","0.19","0.17","0.14","0.31","0.5","MLS"
"Cory Burke","2020","ST","136","0.5","-0.01","0.48","0.02","0","0.02","0.5","MLS"
"Oscar Sorto","2014","FB","18","0.06","0.01","0.06","0.35","0.09","0.44","0.5","MLS"
"Ethan Kutler","2018","FB","111","0.22","0.09","0.31","0.18","0","0.18","0.49","MLS"
"Kristie Mewis","2020","CM","391","0.24","0.1","0.33","0.1","0.05","0.15","0.48","NWSL"
"Rob Lovejoy","2016","ST","24","0.49","-0.01","0.47","0.01","-0.01","0","0.48","MLS"
"Tani Oluwaseyi","2023","W","22","0.49","-0.02","0.48","0.01","-0.02","-0.01","0.47","MLS"
"Alberth Elis","2020","W","223","0.46","0","0.46","-0.02","0.02","0.01","0.47","MLS"
"Cameron Dunbar","2020","AM","28","0.41","-0.02","0.39","0.11","-0.03","0.08","0.47","MLS"
"Chad Barrett","2017","ST","79","0.34","0","0.33","0.19","-0.05","0.14","0.47","MLS"
"Paul Gindiri","2023","ST","39","0.47","-0.01","0.46","0.01","0","0.01","0.46","MLS"
"Kayden Pierre","2023","FB","13","0.3","0.01","0.31","0","0.14","0.14","0.45","MLS"
"Denis Bouanga","2022","W","556","0.4","0.03","0.43","-0.01","0.02","0.01","0.45","MLS"
"Alexandru Matan","2022","W","58","0.42","-0.01","0.4","-0.04","0.08","0.03","0.44","MLS"
"Carlos Vela","2019","W","2985","0.36","0.05","0.41","0","0.03","0.03","0.44","MLS"
"Jeon Ga-Eul","2016","CM","91","0.39","-0.01","0.39","-0.01","0.06","0.05","0.44","NWSL"
"Amando Moreno","2013","FB","6","0.35","0.01","0.36","0","0.08","0.08","0.44","MLS"
"Veronica Latsko","2019","W","135","0.42","0","0.42","0.02","-0.01","0.01","0.43","NWSL"
"Kwadwo Poku","2016","CM","295","0.32","0.05","0.37","0.05","0.01","0.06","0.43","MLS"
"Chris Rindov","2023","CB","13","0.07","0.03","0.1","0.13","0.19","0.32","0.42","MLS"
"Leo Chú","2021","AM","188","0.42","-0.02","0.4","-0.01","0.02","0.02","0.42","MLS"
"Brian Gutierrez","2020","W","55","0.48","-0.01","0.47","0.05","-0.09","-0.05","0.42","MLS"
"Dairon Asprilla","2020","W","64","0.42","-0.01","0.4","0.05","-0.03","0.02","0.42","MLS"
"Jasser Khmiri","2019","CB","98","-0.09","0.03","-0.06","0.75","-0.27","0.48","0.42","MLS"
"Yekeson Subah","2023","W","24","0.4","-0.02","0.38","0.03","0","0.03","0.41","MLS"
"Christopher Garcia","2022","W","9","0.28","-0.01","0.27","0.04","0.11","0.15","0.41","MLS"
"Jack Skahan","2022","FB","132","0.32","0.02","0.34","0.01","0.06","0.07","0.41","MLS"
"Sophia Smith","2023","ST","1248","0.35","0","0.35","0.03","0.02","0.05","0.4","NWSL"
"Sophia Smith","2022","ST","1560","0.35","0.01","0.36","0.04","0","0.04","0.4","NWSL"
"Bode Davis","2022","W","119","0.25","-0.02","0.23","0.19","-0.02","0.17","0.4","MLS"
"Lucas Melano","2018","AM","174","0.27","-0.02","0.25","0.18","-0.03","0.15","0.4","MLS"
"Amro Tarek","2016","AM","8","0.02","0","0.02","0.57","-0.2","0.37","0.39","MLS"
"Lionel Messi","2023","ST","312","0.48","-0.06","0.42","-0.01","-0.03","-0.04","0.38","MLS"
"Megan Rapinoe","2022","W","1011","0.32","0.02","0.34","0.02","0.02","0.04","0.38","NWSL"
"Lindsey Horan","2020","CM","397","0.43","-0.01","0.42","-0.04","-0.01","-0.05","0.38","NWSL"
"Lynn Williams","2018","ST","1832","0.33","0.01","0.34","0.01","0.03","0.04","0.38","NWSL"
"Madeline Nolf","2019","FB","6","0.15","0.01","0.15","0.11","0.1","0.21","0.37","NWSL"
"Jordan Hamilton","2017","ST","176","0.45","-0.02","0.43","-0.02","-0.05","-0.06","0.37","MLS"
"Morgan Marlborough","2016","W","27","0.35","-0.01","0.33","0.04","0","0.03","0.37","NWSL"
"Jayden Reid","2023","W","2","0.27","0","0.27","0","0.09","0.09","0.36","MLS"
"Debinha","2020","AM","399","0.39","0","0.39","-0.02","-0.01","-0.03","0.36","NWSL"
"Morgan Weaver","2020","ST","97","0.32","-0.01","0.32","-0.04","0.08","0.04","0.36","NWSL"
"Michele Vasconcelos","2019","W","529","0.25","0.08","0.34","0","0.02","0.02","0.36","NWSL"
"Robbie Robinson","2023","W","339","0.32","0.02","0.34","0.01","0.01","0.02","0.35","MLS"
"Kwaku Owusu","2022","CB","13","0.13","0.03","0.15","0","0.2","0.2","0.35","MLS"
"Shea Groom","2020","CM","384","0.27","0.04","0.31","0","0.04","0.04","0.35","NWSL"
"Sam Kerr","2018","ST","1848","0.33","0.04","0.36","-0.01","0","-0.01","0.35","NWSL"
"Romario Williams","2018","ST","299","0.29","-0.01","0.29","0.13","-0.07","0.06","0.35","MLS"
"Debinha","2019","AM","1630","0.2","0.06","0.25","0.07","0.02","0.09","0.34","NWSL"
"Sam Kerr","2019","ST","2024","0.31","0.03","0.33","0","0","0","0.34","NWSL"
"Cristian Olivera","2023","W","589","0.29","-0.01","0.28","0.04","0.01","0.06","0.33","MLS"
"Zoey Goralski","2020","FB","277","0.33","0.03","0.36","-0.03","0","-0.03","0.33","NWSL"
"Cristian Pavón","2019","W","1052","0.29","0.04","0.32","0.01","0","0.01","0.33","MLS"
"Jessica McDonald","2019","ST","923","0.29","0.02","0.3","0","0.03","0.02","0.33","NWSL"
"Brandon Vázquez","2017","W","238","0.36","0.01","0.37","-0.03","-0.01","-0.04","0.33","MLS"
"Eriq Zavaleta","2013","W","54","0.38","-0.01","0.37","-0.01","-0.03","-0.04","0.33","MLS"
"Matthew Nocita","2023","CB","32","0.07","0.03","0.1","0.15","0.07","0.22","0.32","MLS"
"Bernard Kamungo","2022","W","26","0.41","-0.01","0.4","0","-0.07","-0.07","0.32","MLS"
"Simon Becher","2022","ST","12","0.29","-0.01","0.27","0","0.05","0.05","0.32","MLS"
"Abu Danladi","2021","ST","130","0.34","-0.01","0.33","-0.05","0.05","-0.01","0.32","MLS"
"Sophia Smith","2020","ST","197","0.23","0","0.23","0.03","0.06","0.09","0.32","NWSL"
"Tony Rocha","2020","W","106","0.27","-0.01","0.26","0.04","0.02","0.06","0.32","MLS"
"Siad Haji","2020","W","65","0.3","-0.01","0.28","0","0.03","0.03","0.32","MLS"
"Mitchell Taintor","2018","CB","95","0.03","0.03","0.05","0.42","-0.16","0.26","0.32","MLS"
"Vincent Bezecourt","2017","DM","215","0.22","0.02","0.24","0.06","0.02","0.08","0.32","MLS"
"Quincy Amarikwa","2013","W","363","0.35","0.04","0.38","-0.04","-0.03","-0.07","0.32","MLS"
"Mackenzie Pluck","2023","CM","11","0.3","-0.01","0.29","0","0.02","0.02","0.31","NWSL"
"Natasha Kai","2017","ST","22","0.35","-0.02","0.34","-0.04","0.02","-0.02","0.31","NWSL"
"Keegan Hughes","2023","CB","4","0.04","0.03","0.07","0.02","0.22","0.23","0.3","MLS"
"Harvey Neville","2022","FB","15","0.38","0.01","0.38","0","-0.08","-0.08","0.3","MLS"
"Sophia Smith","2021","ST","1569","0.17","0.01","0.19","0.08","0.03","0.11","0.3","NWSL"
"McKenzie Meehan","2019","ST","80","0.37","-0.02","0.35","-0.06","0.01","-0.05","0.3","NWSL"
"Jess Fishlock","2019","AM","445","0.27","0","0.27","0.02","0","0.03","0.3","NWSL"
"Krisztián Németh","2017","ST","197","0.28","0.02","0.3","-0.01","0.01","0","0.3","MLS"
"Emanuel Pogatetz","2014","CB","61","-0.05","0.03","-0.02","0.22","0.11","0.33","0.3","MLS"
"Filip Yavorov Krastev","2023","CM","196","0.22","0","0.22","0.06","0.01","0.07","0.29","MLS"
"Michelle Alozie","2022","ST","306","0.32","0","0.32","0","-0.03","-0.03","0.29","NWSL"
"Tobin Heath","2022","W","137","0.27","0","0.27","0.02","0.01","0.02","0.29","NWSL"
"Crystal Dunn","2022","DM","66","0.27","0.02","0.29","0.02","-0.02","0","0.29","NWSL"
"Alberth Elis","2019","W","2135","0.29","0.02","0.31","-0.02","0","-0.02","0.29","MLS"
"Ethan Zubak","2019","ST","54","0.31","-0.01","0.3","0","-0.01","-0.01","0.29","MLS"
"Nichelle Prince","2019","W","366","0.27","-0.02","0.25","0.03","0.01","0.04","0.29","NWSL"
"Miguel Almirón","2018","AM","3010","0.23","0.04","0.27","0","0.01","0.02","0.29","MLS"
"Sam Kerr","2017","ST","2066","0.22","0.1","0.31","0","-0.02","-0.02","0.29","NWSL"
"Lynn Williams","2017","ST","1969","0.26","0.01","0.27","0.02","0.01","0.03","0.29","NWSL"
"Katie Johnson","2022","CM","585","0.24","0.02","0.26","0.02","0.01","0.02","0.28","NWSL"
"Meghan McCool","2020","W","154","0.17","-0.01","0.16","0.11","0.01","0.12","0.28","NWSL"
"Jorge Moreira","2020","FB","92","0.41","-0.03","0.38","-0.07","-0.04","-0.1","0.28","MLS"
"Kim Hazlett","2020","FB","12","0.05","0.01","0.06","0.12","0.1","0.22","0.28","NWSL"
"Florian Valot","2019","CM","135","0.16","0.02","0.18","0.03","0.06","0.09","0.28","MLS"
"Sam Mewis","2018","CM","1182","0.24","0.03","0.27","-0.03","0.03","0.01","0.28","NWSL"
"Paige Nielsen","2016","ST","42","0.08","-0.02","0.06","0.02","0.19","0.21","0.28","NWSL"
"Justin Mapp","2015","W","277","0.28","0.02","0.3","-0.02","0","-0.02","0.28","MLS"
"Robbie Keane","2014","ST","2734","0.28","-0.01","0.27","0.01","0","0.01","0.28","MLS"
"Bradley Wright-Phillips","2013","ST","364","0.28","0.03","0.31","-0.01","-0.02","-0.03","0.28","MLS"
"Róger Torres","2013","DM","91","0.2","0.04","0.24","0.09","-0.04","0.05","0.28","MLS"
"Andressa Alves","2023","DM","242","-0.07","0.01","-0.06","0.31","0.03","0.33","0.27","NWSL"
"Elizabeth Eddy","2023","FB","67","0.17","0.01","0.18","0.16","-0.08","0.09","0.27","NWSL"
"Ousseni Bouda","2022","W","164","0.23","0","0.23","0.02","0.02","0.04","0.27","MLS"
"Alex De John","2022","CB","462","0.15","-0.03","0.12","0.12","0.03","0.15","0.27","MLS"
"Veronica Latsko","2020","ST","316","0.24","-0.01","0.22","0.01","0.04","0.05","0.27","NWSL"
"Mohamed El-Munir","2019","FB","673","0.05","0.02","0.08","0.12","0.07","0.19","0.27","MLS"
"Gianluca Busio","2018","CM","201","0.23","0.01","0.24","-0.03","0.06","0.03","0.27","MLS"
"Alberth Elis","2018","W","2639","0.27","0.01","0.28","-0.01","0","-0.01","0.27","MLS"
"Tobin Heath","2017","W","81","0.22","-0.01","0.21","0.04","0.02","0.06","0.27","NWSL"
"Timo Pitter","2016","AM","13","0.31","-0.02","0.28","-0.02","0.01","-0.01","0.27","MLS"
"Rob Friend","2014","ST","415","0.27","0","0.27","-0.02","0.02","0","0.27","MLS"
"Rafael Garcia","2014","CM","19","0.23","0","0.24","-0.04","0.08","0.03","0.27","MLS"
"Jyllissa Harris","2023","CM","15","0.12","-0.01","0.11","0.05","0.1","0.16","0.26","NWSL"
"Mal Swanson","2022","AM","1358","0.23","0","0.24","-0.01","0.03","0.02","0.26","NWSL"
"Debinha","2022","AM","1707","0.19","0.02","0.2","0.03","0.03","0.06","0.26","NWSL"
"Eugénie Le Sommer","2021","W","1306","0.22","-0.01","0.21","0.04","0.01","0.05","0.26","NWSL"
"Raheem Edwards","2019","FB","267","0.27","0.02","0.3","-0.08","0.05","-0.03","0.26","MLS"
"Marco Donadel","2018","CB","108","0.25","0.03","0.28","-0.06","0.05","-0.01","0.26","MLS"
"Megan Rapinoe","2018","W","1427","0.25","0.02","0.27","-0.02","0.01","-0.01","0.26","NWSL"
"Mohammed Abu","2018","DM","109","0.11","0.03","0.14","0.08","0.04","0.12","0.26","MLS"
"Marius Obekop","2014","W","50","0.32","-0.01","0.31","0","-0.04","-0.05","0.26","MLS"
"Isaiah Parente","2023","ST","81","0.2","-0.01","0.19","0.12","-0.06","0.07","0.25","MLS"
"Esther González","2023","ST","306","0.25","-0.03","0.22","0","0.03","0.03","0.25","NWSL"
"Tess Boade","2022","ST","351","0.11","-0.01","0.1","0.16","0","0.15","0.25","NWSL"
"Robert Castellanos","2021","CB","96","0.15","0.03","0.18","-0.01","0.08","0.07","0.25","MLS"
"Morgan Gautrat","2020","DM","358","0.17","0.03","0.2","0.05","-0.01","0.05","0.25","NWSL"
"Crystal Dunn","2019","AM","1065","0.13","0.06","0.19","0.04","0.01","0.06","0.25","NWSL"
"Lynn Williams","2019","ST","2000","0.2","0.02","0.22","0.01","0.02","0.03","0.25","NWSL"
"Francois Affolter","2019","CB","98","-0.02","0.01","-0.02","0.2","0.06","0.26","0.25","MLS"
"Carlos Vela","2018","W","2611","0.2","0.03","0.23","0","0.03","0.02","0.25","MLS"
"Mark Segbers","2018","FB","50","0.26","0.01","0.27","-0.04","0.02","-0.02","0.25","MLS"
"Jonathan Lewis","2018","W","295","0.18","0.02","0.21","0.03","0.01","0.04","0.25","MLS"
"Chris Odoi-Atsem","2018","FB","15","0.29","0.01","0.29","-0.12","0.08","-0.05","0.25","MLS"
"Josef Martínez","2017","ST","1621","0.24","0","0.24","-0.01","0.02","0.01","0.25","MLS"
"Sebastian Giovinco","2016","ST","2596","0.25","0.01","0.26","-0.01","0","-0.01","0.25","MLS"
"Kwadwo Poku","2015","AM","1107","0.21","0.04","0.25","0.02","-0.02","0","0.25","MLS"
"Sebastian Giovinco","2015","ST","2957","0.23","0.02","0.25","0","0","0","0.25","MLS"
"Mal Swanson","2023","AM","205","0.21","0","0.21","0","0.03","0.03","0.24","NWSL"
"José Cifuentes","2022","CM","2557","0.16","0.04","0.2","0.01","0.03","0.04","0.24","MLS"
"Mikenna McManus","2022","CB","4","0.03","0.03","0.06","0","0.17","0.17","0.24","NWSL"
"Simone Charley","2020","ST","283","0.24","-0.02","0.22","-0.01","0.03","0.02","0.24","NWSL"
"Jordan Morris","2020","W","1639","0.16","0.05","0.21","-0.01","0.04","0.03","0.24","MLS"
"Zlatan Ibrahimovic","2019","ST","2860","0.32","-0.07","0.25","0.01","-0.02","-0.01","0.24","MLS"
"Eduard Atuesta","2019","DM","2877","0.16","0.02","0.18","0.02","0.03","0.06","0.24","MLS"
"Jessica McDonald","2018","ST","1777","0.16","0.06","0.22","-0.01","0.03","0.02","0.24","NWSL"
"Romario Ibarra","2018","W","312","0.25","0","0.25","-0.02","0.01","-0.01","0.24","MLS"
"Raheem Edwards","2016","CB","6","0.43","0","0.43","0","-0.19","-0.19","0.24","MLS"
"Leo Fernandes","2016","W","309","0.23","0.01","0.24","0.03","-0.04","0","0.24","MLS"
"Gonzalo Verón","2015","W","371","0.23","0.01","0.24","0.02","-0.02","0","0.24","MLS"
"Gerardo Valenzuela","2023","AM","15","-0.31","-0.02","-0.33","0.63","-0.06","0.56","0.23","MLS"
"Julian Hall","2023","ST","18","-0.17","-0.01","-0.18","0.5","-0.09","0.41","0.23","MLS"
"Brian White","2023","ST","2711","0.21","0.04","0.25","0","-0.02","-0.02","0.23","MLS"
"Matías Pellegrini","2022","FB","81","0.22","0.01","0.23","0","0","0","0.23","MLS"
"Simone Charley","2021","ST","1039","0.23","-0.03","0.2","0.02","0.01","0.03","0.23","NWSL"
"Emanuel Reynoso","2020","AM","892","0.11","0.12","0.23","0.01","0","0.01","0.23","MLS"
"Alexander Alvarado","2020","ST","34","0.43","-0.01","0.41","-0.14","-0.05","-0.18","0.23","MLS"
"Paxton Pomykal","2020","W","175","0.21","0.01","0.23","0","0.01","0","0.23","MLS"
"Mustafa Kizza","2020","W","27","-0.06","-0.01","-0.07","0.36","-0.05","0.31","0.23","MLS"
"Ally Prisock","2020","CB","301","0.02","-0.01","0.02","0.09","0.12","0.21","0.23","NWSL"
"Aleksandar Katai","2020","W","120","0.17","-0.03","0.14","0.08","0.01","0.09","0.23","MLS"
"Ilsinho","2019","W","1216","0.17","0.04","0.2","0.01","0.01","0.02","0.23","MLS"
"Raisa Strom-Okimoto","2019","DM","32","0.13","0","0.13","0.07","0.03","0.1","0.23","NWSL"
"Héctor Villalba","2019","W","1027","0.17","0.03","0.2","-0.01","0.03","0.02","0.23","MLS"
"Tobin Heath","2019","W","1188","0.15","0.05","0.2","0.02","0.01","0.03","0.23","NWSL"
"Bruno Miranda","2017","W","72","-0.02","-0.01","-0.03","0.28","-0.02","0.27","0.23","MLS"
"David Arshakyan","2017","W","43","0.21","-0.01","0.2","-0.05","0.08","0.04","0.23","MLS"
"Alberth Elis","2017","W","1771","0.27","0","0.27","-0.01","-0.02","-0.04","0.23","MLS"
"Armando Cooper","2016","CM","420","0.18","0.04","0.22","-0.02","0.03","0.01","0.23","MLS"
"Carli Lloyd","2016","W","594","0.22","-0.01","0.22","-0.02","0.03","0.01","0.23","NWSL"
"Norberto Paparatto","2015","CB","491","0.04","0.03","0.07","0.02","0.14","0.16","0.23","MLS"
"David Accam","2015","W","1985","0.21","0.02","0.23","-0.01","0","0","0.23","MLS"
"Didier Drogba","2015","ST","940","0.21","0","0.21","0.03","-0.02","0.01","0.23","MLS"
"Landon Donovan","2014","W","2910","0.12","0.09","0.21","0.01","0.01","0.02","0.23","MLS"
"Simone Charley","2023","W","64","0.24","-0.01","0.23","-0.01","0","-0.01","0.22","NWSL"
"Kerolin","2023","W","1746","0.14","0.04","0.18","0.01","0.02","0.04","0.22","NWSL"
"Midge Purce","2023","W","733","0.2","-0.01","0.19","0.01","0.03","0.03","0.22","NWSL"
"Emiliano Brienza","2022","ST","8","0.32","-0.01","0.31","0","-0.08","-0.08","0.22","MLS"
"Julia Ashley","2022","CB","172","0.06","0.01","0.07","0.11","0.04","0.15","0.22","NWSL"
"Rose Lavelle","2022","AM","1608","0.17","0.01","0.18","0.02","0.02","0.04","0.22","NWSL"
"Jessica McDonald","2021","ST","1676","0.23","0.03","0.25","-0.02","-0.01","-0.03","0.22","NWSL"
"Rose Lavelle","2021","CM","989","0.18","0.05","0.23","-0.01","0","-0.01","0.22","NWSL"
"Trinity Rodman","2021","W","1870","0.16","0.05","0.21","0.02","-0.01","0.01","0.22","NWSL"
"Adam Buksa","2021","ST","2282","0.22","-0.02","0.2","0.01","0.01","0.01","0.22","MLS"
"Edgar Castillo","2020","FB","112","0.16","0.01","0.17","0.01","0.04","0.05","0.22","MLS"
"Kekuta Manneh","2020","W","224","0.17","0.01","0.18","0.03","0.01","0.04","0.22","MLS"
"Savannah McCaskill","2020","W","232","0.23","-0.05","0.18","0.01","0.02","0.03","0.22","NWSL"
"Christine Sinclair","2020","AM","397","0.14","0.05","0.18","0.01","0.02","0.03","0.22","NWSL"
"Kelley O'Hara","2019","FB","269","0.12","-0.01","0.11","0.06","0.05","0.11","0.22","NWSL"
"Taylor Peay","2018","CB","3","-0.14","0.03","-0.11","0","0.32","0.32","0.22","MLS"
"Joao Plata","2017","W","2468","0.25","-0.01","0.24","-0.01","-0.01","-0.02","0.22","MLS"
"Janice Cayman","2016","FB","109","0.08","0.01","0.09","0.05","0.08","0.13","0.22","NWSL"
"Bradford Jamieson","2016","ST","52","0.23","-0.01","0.21","-0.04","0.04","0","0.22","MLS"
"Conor Casey","2015","ST","407","0.26","-0.02","0.24","0.01","-0.03","-0.02","0.22","MLS"
"Javier Morales","2015","CM","2303","0.12","0.07","0.19","0.02","0.02","0.03","0.22","MLS"
"Louis Beland-Goyette","2014","DM","19","-0.19","0.02","-0.17","0.34","0.05","0.39","0.22","MLS"
"Steven Kinney","2014","FB","143","0.06","0.01","0.07","0.11","0.04","0.15","0.22","MLS"
"Tega Ikoba","2023","ST","104","0.13","-0.01","0.12","0.01","0.08","0.09","0.21","MLS"
"Thiago Almada","2023","AM","2998","0.18","0.03","0.2","-0.01","0.01","0","0.21","MLS"
"Gina Lewandowski","2022","CB","117","0.14","0.01","0.15","0.02","0.03","0.06","0.21","NWSL"
"Trinity Rodman","2022","W","1655","0.17","0.02","0.2","0.02","0","0.02","0.21","NWSL"
"Adilson Malanda","2022","CB","595","0.05","0.02","0.06","0.1","0.05","0.15","0.21","MLS"
"Jaedyn Shaw","2022","W","282","0.19","0.01","0.2","0.01","0","0","0.21","NWSL"
"Emerson Rodríguez","2022","W","642","0.2","-0.01","0.18","0.02","0.01","0.02","0.21","MLS"
"Carles Gil","2021","AM","2490","0.15","0.05","0.2","0","0.01","0.01","0.21","MLS"
"Sam Mewis","2021","AM","325","0.18","0.01","0.19","0","0.02","0.02","0.21","NWSL"
"Andy Najar","2021","CB","2093","0.07","0.05","0.12","0.01","0.07","0.08","0.21","MLS"
"Crystal Thomas","2020","W","130","0.11","-0.01","0.09","0.08","0.03","0.12","0.21","NWSL"
"Katie Johnson","2020","FB","16","0.14","0.01","0.15","0","0.06","0.06","0.21","NWSL"
"Mark-Anthony Kaye","2019","CM","2730","0.14","0.01","0.14","0.04","0.03","0.07","0.21","MLS"
"Johnny Russell","2018","W","2372","0.19","0.03","0.22","-0.02","0.02","-0.01","0.21","MLS"
"Bridget Callahan","2018","DM","4","0.15","0","0.16","0","0.05","0.05","0.21","NWSL"
"Romell Quioto","2018","W","2431","0.13","0.09","0.22","-0.01","0.01","-0.01","0.21","MLS"
"Maximiliano Morález","2018","AM","3029","0.12","0.05","0.17","0.01","0.02","0.03","0.21","MLS"
"Abby Erceg","2018","CB","2324","0.1","0.02","0.12","0.02","0.06","0.08","0.21","NWSL"
"Quincy Amarikwa","2017","ST","186","0.23","0.03","0.26","0","-0.04","-0.05","0.21","MLS"
"Víctor Vázquez","2017","CM","2525","0.14","0.06","0.2","0","0","0.01","0.21","MLS"
"Connor Maloney","2017","FB","133","0.23","0","0.23","0.06","-0.09","-0.03","0.21","MLS"
"Hassoun Camara","2015","CB","529","0.05","0","0.05","0.16","0","0.17","0.21","MLS"
"Hernán Grana","2015","FB","641","0.05","0.05","0.1","0.07","0.03","0.11","0.21","MLS"
"Kendall Waston","2014","CB","898","0.08","0.01","0.1","0.07","0.05","0.12","0.21","MLS"
"Monsef Bakrar","2023","ST","710","0.23","-0.02","0.21","0","-0.01","0","0.2","MLS"
"Emanuel Reynoso","2023","AM","1381","0.22","0.01","0.23","0","-0.03","-0.03","0.2","MLS"
"Shae Holmes","2023","CB","269","0.05","0.02","0.07","0.11","0.02","0.13","0.2","NWSL"
"Sarah Luebbert","2022","FB","804","0.15","0.04","0.19","-0.01","0.03","0.02","0.2","NWSL"
"Hany Mukhtar","2022","ST","3082","0.17","0.04","0.21","0","0","-0.01","0.2","MLS"
